#,关键词,法规,别称
4,,《新会计准则第1号——存货》,
5,,《新会计准则第2号——长期股权投资》,
6,,《新会计准则第3号——投资性房地产》,
7,,《新会计准则第4号——固定资产》,
8,,《新会计准则第5号——生物资产》,
9,,《新会计准则第6号——无形资产》,
10,,《新会计准则第7号——非货币性资产交换》,
11,,《新会计准则第8号——资产减值》,
12,,《新会计准则第9号 ——职工薪酬》,
13,,《新会计准则第10号——企业年金基金》,
14,,《新会计准则第11号——股份支付》,
15,,《新会计准则第12号——债务重组》,
16,,《新会计准则第13号——或有事项》,
17,,《新会计准则第14号——收入》,
18,,《新会计准则第15号——建造合同》,
19,,《新会计准则第16号——政府补助》,
20,,《新会计准则第17号——借款费用》,
21,,《新会计准则第18号——所得税》,
22,,《新会计准则第19号——外币折算》,
23,,《新会计准则第20号——企业合并》,
24,,《新会计准则第21号——租赁》,
25,,《新会计准则第22号——金融工具确认和计量》,
26,,《新会计准则第23号——金融资产转移》,
27,,《新会计准则第24号——套期保值》,
28,,《新会计准则第25号——原保险合同》,
29,,《新会计准则第26号——再保险合同》,
30,,《新会计准则第27号——石油天然气开采》,
31,,《新会计准则第28号——会计政策、会计估计变更和差错更正》,
32,,《新会计准则第29号——资产负债表日后事项》,
33,,《新会计准则第30号——财务报表列报》,
34,,《新会计准则第31号——现金流量表》,
35,,《新会计准则第32号——中期财务报告》,
36,,《新会计准则第33号——合并财务报表》,
37,,《新会计准则第34号——每股收益》,
38,,《新会计准则第35号——分部报告》,
39,,《新会计准则第36号——关联方披露》,
40,,《新会计准则第37号——金融工具列报》,
41,,《新会计准则第38号——首次执行企业会计准则》,
42,,《中华人民共和国会计法》,
43,,《企业会计准则第X号-公允价值计量(征求意见稿)》,
44,,《企业会计准则第30号-财务报表列报(征求意见稿)》,
45,,《企业会计准则第9号-职工薪酬(修订)(征求意见稿)》,
46,,《2013中国新会计准则最新调整》,
47,,《企业会计准则第×号——公允价值计量》,
48,,《企业会计准则第30号——财务报表列报》,
49,,《企业会计准则第9号——职工薪酬》,
50,,《企业会计准则第2号——长期股权投资》,
51,,《企业会计准则讲解》,
52,,《企业会计准则第22号——金融资产的确认和计量》,
53,,《企业会计准则第33号——合并财务报表》,
54,,《企业会计准则第X号——合营安排》,
55,,《企业会计准则第X号——在其他主体中权益的披露》,
56,,《企业会计准则第34号——合并财务报表》,
57,,《企业会计准则第37号——金融工具列报》,
58,,《企业会计准则第×号——公允价值计量(征求意见稿)》,
,,,
1,外汇管理,,
,,,
1,减少注册资本,,
,,,
1,保税港区,《国务院关于设立洋山保税港区的批复》,
2,,《两区对接协议》,
3,,《关于建立**保税港区的请示》,
4,,《关于同意设立青岛前湾保税港区的批复》,
5,,《国务院关于同意设立广州南沙保税港区的批复》,
6,,《中国加入世界贸易组织议定书》,
7,,《WTO协定》,
8,,《关于简化和协调海关业务制度的国际公约》,
9,,《京都公约》,
10,,《海关法》,
11,,《立法法》,
12,,《东疆规定》,
13,,《洋山办法》,
,,,
1,财税[2009]9号,,
,,,
1,法定代表人,《中华人民共和国民事诉讼法》,
2,,《公司法》,
3,,《证券法》,
4,,《民法通则》,
5,,《合同法》,
6,,《中华人民共和国公司法》,
7,,《企业法人的法定代表人登记管理规定》,
8,,《企业法人法定代表人登记管理规定（1999年修正）》,
9,,《国家工商行政管理局对变更公司法定代表人有关问题的答复》,
10,,《关于外商投资企业法定代表人变更登记有关问题的答复》,
11,,《企业法人法定代表人登记管理规定》,
12,,《合 同法》,
13,,《关于规范上市公司对外担保行为的通知》,
14,,《公司章程》,
15,,《通知》,
16,,《关于适用若干问题的解释（二）》,
,,,
1,个人所得税实施条例,《全国人民代表大会常务委员会关于修改〈中华人民共和国个人所得税法〉的决定》,
2,,《国务院关于修改〈中华人民共和国个人所得税法实施条例〉的决定》,
3,,《中华人民共和国个人所得税法实施条例》,
4,,《个税》,
5,,《中华人民共和国个人所得税法》,
6,,《条例》,
7,,《中华人民共和国外交特权与豁免条例》,
8,,《中华人民共和国领事特权与豁免条例》,
9,,《中华人民共和国国务院关于对来华工作的外籍人员工资、薪金所得减征个人所得税的暂行规定》,
10,,《关于贯彻执行修改后的个人所得税法有关问题的公告》,
,,,
1,首次公开发行股票并上市管理办法,《首次公开发行股票并上市管理办法》,
2,,《证券法》,
3,,《公司法》,
4,,《关于股票发行工作若干规定的通知》,
5,,《关于做好1997年股票发行工作的通知》,
6,,《关于股票发行工作若干问题的补充通知》,
7,,《关于对拟发行上市企业改制情况进行调查的通知》,
8,,《关于对拟公开发行股票公司改制运行情况进行调查的通知》,
9,,《关于拟发行股票公司聘请审计机构等问题的通知》,
10,,《关于进一步规范股票首次发行上市有关工作的通知》,
,,,
1,域名,《域名技术管理改进草案（讨论稿）》,
2,,《中国互联网络信息中心域名争议解决办法》,
3,,《中国互联网络域名管理办法》,
4,,《中国互联网络信息中心域名争议解决办法程序规则》,
,,,
1,红字发票,《申请单》,
2,,《开具红字增值税专用发票申请单》,
3,,《开具红字增值税专用发票通知单》,
4,,《通知》,
5,,《国家税务总局关于修订的通知》,
6,,《关于修订增值税专用发票使用规定的补充通知》,
7,,《发票管理办法实施细则》,
8,,《通知单》,
9,,《开具红字增值税专用发票通请单》,
,,,
1,中华人民共和国土地增值税暂行条例实施细则,《中华人民共和国土地增值税暂行条例》,
2,,《中华人民共和国税收征收管理法》,
,,,
1,商业银行法,《全国人民代表大会常务委员会关于修改的决定》,
2,,《中华人民共和国公司法》,
3,,《中华人民共和国中国人民银行法》,
4,,《中华人民共和国行政诉讼法》,
,,,
1,发票管理,《全国发票管理暂行办法》,
,,,
1,工会,《中华人民共和国工会法》,
2,,《基层工会法人资格登记办法》,
3,,《关于修改〈中华人民共和国工会法〉的决定》,
4,,《工会法》,
5,,《宪法》,
6,,《决定》,
7,,《中国工会章程》,
8,,《纽约时报》,
9,,《底特律的没落》,
10,,《出卖团结：腐败如何毁害了劳工运动，削弱了美国的前程》,
,,,
1,税务风险,《两小时了解税务风险》,
,,,
1,行政复议法,《中华人民共和国行政复议法》,
2,,《中华人民共和国行政复议实施条例》,
3,,《行政复议条例》,
,,,
1,证券公司,《公司法》,
2,,《证券法》,
3,,《证券公司风险处置条例》,
4,,《证券交易所管理办法》,
5,,《证券、期货投资咨询管理暂行办法》,
,,,
1,中外合作办学,《中华人民共和国中外合作办学条例》,
2,,《中外合作办学条例》,
3,,《中外合作办学项目申请表》,
4,,《中华人民共和国行政许可法》,
5,,《上海立信会计学院学报》,
,,,
1,基金会管理条例,《基金会管理条例》,
2,,《条例》,
3,,《基金会管理办法》,
4,,《基金会法人登记证书》,
5,,《基金会分支（代表）机构登记证书》,
6,,《境外基金会代表机构登记证书》,
,,,
1,福利费,,
,,,
1,买入返售,,
,,,
1,增值税 暂行条例,《中华人民共和国增值税暂行条例》,
2,,《中华人民共和国税收征收管理法》,
3,,《中华人民共和国增值税条例(草案)》,
4,,《中华人民共和国产品税条例（草案）》,
,,,
1,外债登记,,
,,,
1,国税发[2008]116号,,
,,,
1,实际管理机构,,
,,,
1,关键字：*,,
,,,
1,股票 股份 公司,,
,,,
1,75号文,,
,,,
1,建筑法,《中华人民共和国建筑法》,
2,,《关于修改〈中华人民共和国建筑法〉的决定》,
3,,《全国人民代表大会常务委员会关于修改〈中华人民共和国建筑法〉的决定》,
,,,
1,拍卖,,
,,,
1,金融企业会计制度,《中华人民共和国会计法》,
2,,《企业财务会计报告条例》,
3,,《金融企业会计制度》,
4,,《企业会计准则》,
5,,《关于印发《金融企业会计制度》,
6,,《财政部关于公布废止和失效的财政规章和规范性文件目录(第十一批)的决定》,
,,,
1,国家税务总局关于企业股权投资业务若干所得税问题的通知,,
,,,
1,技术秘密,《专利法》,专有技术、技术诀窍或非专利技术
,,,
1,财税字[1999]273号,,
,,,
1,工资支付暂行规定,《工资支付暂行规定》,
2,,《中华人民共和国劳动法》,
3,,《工会法》,
4,,《中华人民共和国企业破产法》,
5,,《对〈工资支付暂行规定〉有关问题的补充规定》,
6,,《规定》,
,,,
1,企业所得税暂行条例,《中华人民共和国企业所得税暂行条例[1] 》,
2,,《中华人民共和国民族区域自治法》,
3,,《中华人民共和国税收征收管理法》,
4,,《中华人民共和国企业所得税暂行条例》,
5,,《中华人民共和国国营企业所得税条例（草案）实施细则》,
6,,《中华人民共和国集体企业所得税暂行条例施行细则》,
7,,《中华人民共和国私营企业所得税暂行条例施行细则》,
8,,《中华人民共和国国营企业所得税条例（草案）》,
9,,《国营企业调节税征收办法》,
10,,《中华人民共和国集体企业所得税暂行条例》,
11,,《中华人民共和国私营企业所得税暂行条例》,
,,,
1,外商投资企业再投资,,
,,,
1,增值税条例,《海关完税凭证抵扣清单》,
2,,《增值税纳税申报表（适用于小规模纳税人）》,
3,,《中华人民共和国增值税暂行条例》,
4,,《中华人民共和国税收征收管理法》,
,,,
1,矿产资源法,《关于修改〈中华人民共和国矿产资源法〉的决定》,
,,,
1,城镇国有土地使用权出让和转让暂行条例,,
,,,
1,财税[2009]57号,,
,,,
1,汽车,《中华人民共和国国民经济和社会发展第七个五年计划》,
2,,《汽车工业产业政策》,
3,,《汽车产业发展政策》,
4,,《缺陷汽车产品召回管理条例》,
,,,
1,财税2009 59号,,
,,,
1,非居民,,
,,,
1,委托加工,《合同法》,
2,,《委托加工备案申请书》,
,,,
1,对赌,《股权买卖及股本认购协议》,
2,,《合资合同》,
3,,《国务院批转证监会关于提高上市公司质量意见的通知》,
,,,
1,国税函[2010]79号,,
,,,
1,消费税暂行条例,"《财政部、国家税务总局关于调整酒类产品消费税政策的通知和《财政部、国家税务总局关于调整烟类产品消费税政策的通知等文件出台后就已经执行，目前主要适用于卷烟、白酒两种产品，新条例上升了复合计税规定的法律层级。
新条例明确了实行复合计税办法计算纳税的组成计税价格计算公式。实行复合计税办法计算的应纳税额=售额×比例税率+销售数量×定额税率。其中，纳税人自产自用的应税消费品组成计税价格=成本+利润+自产自用数量×定额税率）÷（1－比例税率）；委托加工的应税消费品，组成计税价格=材料成本+加工费+委托加工数量×定额税率）÷（1－比例税率）；进口的应税消费品，组成计税价格=税完税价格+关税+进口数量×消费税定额税率）÷（1－消费税比例税率）。
税目税率有重大变化新旧条例税目税率表对比，税目由11项调整为14项，细目增多，范围更广，在单纯的定额、定单项税率调整对比率计算的基础上增加了复合计税。这些变化，纳税人都需要引起关注，把自身生产或销售的产品与应税消费品税目税率表逐一对照，确认适用范围，保证依法纳税，避开不必要的涉税风险。
一是对烟类中的甲类卷烟和乙类卷烟增加从量计征0.003元/支规定，而且乙类卷烟税率从40%降到30%。
二是不再区分粮食白酒与薯类白酒，粮食白酒、薯类白酒的比例税率统一为20%。定额税率为0.5元/斤（500克）或0.5元/500毫升。从量定额税的计量单位按实际销售商品重量确定，如果实际销售商品是按体积标注计量单位的，应按500毫升为1斤换算，不得按酒度折算。这不不仅解决了征管中对酒的分类处理，便于征收，也堵塞了企业利用类别差异进行避税的漏洞。同时，新条例对啤酒分类简单化处理，具体甲乙类需重新确定。
三是新增、调整和取消税目条例化。新增高尔夫球及球具、高档手表、游艇、木制一次性筷子、实木地板税目；取消汽油、柴油税目，增列成品油税目。汽油、柴油改为成品油税目下的子目（税率不变）。另外新增石脑油、溶剂油、润滑油、燃料油、航空煤油五个子目；取消护肤护发品税目，将原属于护肤护发品征税范围的高档护肤类化妆品列入化妆品税目。调整小汽车税目税率、取消小汽车税目下的小轿车、越野车、小客车子目。在小汽车税目下分设乘用车、中轻型商用客车子目；调整摩托车税率，将摩托车税率改为按排量分档设置；调整汽车轮胎税率，将汽车轮胎10%的税率下调到3%。
消费税申报和纳税期限有变化旧条例规定消费税的纳税期限分别为1日、3日、5日、10日、15日或者一个月，新条例则在此基础上增加了一季度的纳税期限，具体适用对象由主管税务机关根据纳税人应纳税额的大小分别核定。
为了和增值税申报期限改变相适应，新条例将旧条例规定的10日申报期调整为15日。新条例规定，纳税人以1个月或者1个季度为1个纳税期的，自期满之日起15日内申报纳税；以1日、3日、5日、10日或者15日为1个纳税期的，自期满之日起5日内预缴税款，于次月1日起15日内申报纳税并结清上月应纳税款。
新条例规定，进口应税消费品应当自海关填发海关进口消费税专用缴款书之日起15日内缴纳税款，对比旧条例规定的7日延长了8天。
消费税纳税申报地点进一步明确旧条例规定，纳税人销售的应税消费品，以及自产自用的应税消费品，除国家另有规定的外，应当向纳税人核算地主管税务机关申报纳税。新条例将“国家另有规定”调整为“除国务院财政、税务主管部门另有规定外”，明确有特殊情况规定权的部门为国务院财政、税务主管部门。
关于申报纳税地点，旧条例明确是“核算地”，但对于如何才算“核算地”征纳双方把握起来都有一定的难度，也在实际执行中有着争议。新条例则把申报纳税地点具体化，指出是纳税人机构所在地或者居住地，便于征纳双方执行。3条例内容编辑时间中华人民共和国消费税暂行条例
（1993年12月13日中华人民共和国国务院令第135号发布2008年11月5日国务院第34次常务会议修订通过）
第一条在中华人民共和国境内生产、委托加工和进口本条例规定的消费品的单位和个人，以及国务院确定的销售本条例规定的消费品的其他单位和个人，为消费税的纳税人，应当依照本条例缴纳消费税。
第二条消费税的税目、税率，依照本条例所附的《消费税税目税率表》",
